UserId,name,Taste,Password
1,Walker,Tender,qVc8ODYU5SZjKXVBgXdI7w
2,Daniel,Bitter,j14WgRoU_-2ZE1aw1dXrJg
3,Steph,Umami,2WnXYQFK0hXEoTxPtV2zvg
4,Gwen,Cheesy,SZDeASXq7o05mMNLshsdIA
5,Karen,Nutty,hA5lMy-EnncsH4JoR-hFGQ
6,Jane,Crunchy,q_QQ5kBBwlCcbL1s4NVK3g
7,Rob,Buttery,cxuxXkcihfCbqt5Byrup8Q
8,Mike,Salty,E9kcWJdJUHuTKfQurPljwA
9,Rachelle,Mild,lO1iq-f75hnPNZkTy3Zerg
10,John,Juicy,AUi8MPWJ0mLkMfwbui27lg
11,Chris,Tender,iYzhPPqnrjJkg1JHZyMhzA
12,Ryan,Creamy,xoZvMJPDW6Q9pDAXI0e_Ww
13,Charlene,Mild,vVukUtqoLF5BvH_VtQFNoA
14,Kenny,Sour,_crIokUeTCHVK_JVOy-0qQ
15,Teresa,Nutty,1McG5Rn_UDkmlkZOrsdptg
16,Eugene,Tangy,SgiBkhXeqIKl1PlFpZOycQ
17,Jennifer,Rich,fJZO_skqpnhk1kvomI4dmA
18,Ronskee,Zesty,x7YtLnBW2dUnrrpwaofVQQ
19,Catherine,Tangy,QF1Kuhs8iwLWANNZxebTow
20,AJ,Juicy,VcLRGCG_VbAo8MxOm76jzA
21,Helen,Gooey,1L3O2CUTk27SnmqyPBWQdQ
22,Shell,Salty,v7DwnrjzuTk7pXmuBPZnsg
23,Stephanie,Tangy,FT9CFS39sjZxVjCTrDHmdg
24,Jelena,Moist,MGPQVLsODMm9ZtYQW-g_OA
25,Joz Joz Joz,Sour,OlJ9vcVFB1iEKcZO-MS3cQ
26,Zuzzi,Fluffy,wAw9FHMiOZd9ROoc5x4DpQ
27,Jay,Nutty,kggqL33iZjeHmUn1Rtdjzg
28,Peter,Rich,wrNOKq0hOlz8q1N_YCNXCA
29,Liliana,Savory,4F0IjrUJGAieoWwHnRhIJw
30,Nina,Herbal,4ZaqBJqt7laPPs8xfWvr6A
31,Reis,Sour,zjPbmmvO4QzE_nE9uErLTg
32,Don,Buttery,65uUyG9yuF0rdMh0z7ajaA
33,Lia,Tender,NIhcRW6DWvk1JQhDhXwgOQ
34,C.J.,Sweet,aF3mEXDJuILmeF-9PcxAsQ
35,Michelle,Juicy,baSDvZweZk6qLY_kHPvYzQ
36,Weili,Mild,XLs_PhrJ7Qwn_RfgMM7Djw
37,Helen,Moist,rppTTi-kfF8-qyiArNemag
38,Matthew,Savory,KYBEVBAP7QUlt1LjmatTJg
39,J,Salty,QJI9OSEn6ujRCtrX06vs1w
40,Sherri,Moist,AkBtT43dYcttxQ3qOzPBAg
41,Joanne,Tender,KXZ8A8h7Q9ZJRU5TM9asjw
42,Chang,Creamy,5cVgAicAhCTSrKzsKDuTdw
43,Whitney,Rich,HoiOETUtwO4CL0PhjDCnSw
44,Mike,Bitter,rCedFOnskGvHQTprtA4-5g
45,Chris,Tangy,sgCZmOkdHBiaKaE6ZKVBaA
46,Julie,Sour,yzonmWerCPxEI3ROuk6caA
47,Peyman,Dry,bNJmIcxc_FRWxftI_vhpbg
48,Kathryn,Fluffy,2Yw9-N2VYZFqg2ylhpb8NA
49,Jennifer,Moist,og-Pb8auVwO-BA_-4TnK9Q
50,Jenna,Bitter,RDTVzWPoCeGaUujrHIWRBQ
